date,vpoc,value_area_low,value_area_high,value_area_width,total_volume
2023-03-09,4050.25,4020.5,4054.25,33.75,52444
2023-03-10,3940.25,3924.25,3966.5,42.25,471816
2023-03-13,3890.5,3846.0,3925.5,79.5,1189737
2023-03-14,3948.25,3918.0,3970.5,52.5,979934
2023-03-15,3893.5,3883.5,3901.5,18.0,1297687
2023-03-16,3905.25,3899.0,3969.0,70.0,1055834
2023-03-17,3975.0,3939.0,3986.75,47.75,1052299
2023-03-20,3959.5,3952.5,3982.75,30.25,780976
2023-03-21,4017.0,4008.5,4025.75,17.25,701051
2023-03-22,4033.75,4031.25,4040.0,8.75,407134
2023-03-23,4029.25,3987.75,4035.75,48.0,721607
2023-03-24,3957.25,3944.25,3962.25,18.0,923601
2023-03-27,4025.0,4007.25,4030.0,22.75,569568
2023-03-28,3999.5,3992.0,4004.75,12.75,527695
2023-03-29,4041.25,4034.75,4043.5,8.75,547252
2023-03-30,4082.5,4078.0,4084.75,6.75,578776
2023-03-31,4100.0,4093.75,4114.25,20.5,557756
2023-04-03,4134.0,4129.75,4155.5,25.75,661008
2023-04-04,4130.25,4128.25,4161.25,33.0,766069
2023-04-05,4121.5,4105.75,4123.75,18.0,708662
2023-04-06,4111.0,4098.75,4112.75,14.0,635359
2023-04-07,4139.25,4124.0,4142.25,18.25,49147
2023-04-10,4106.5,4100.5,4111.25,10.75,495962
2023-04-11,4137.75,4134.0,4139.5,5.5,525675
2023-04-12,4141.25,4130.5,4160.5,30.0,873304
2023-04-13,4144.5,4127.0,4146.25,19.25,610525
2023-04-14,4160.5,4152.5,4186.5,34.0,935179
2023-04-17,4162.25,4159.25,4167.75,8.5,579902
2023-04-18,4169.75,4167.75,4194.0,26.25,684851
2023-04-19,4160.25,4157.75,4171.75,14.0,603871
2023-04-20,4157.75,4147.5,4160.0,12.5,650555
2023-04-21,4154.0,4144.0,4155.75,11.75,857037
2023-04-24,4162.0,4146.0,4162.75,16.75,609931
2023-04-25,4129.5,4124.5,4142.5,18.0,673675
2023-04-26,4099.5,4089.25,4105.25,16.0,795171
2023-04-27,4107.0,4098.0,4118.5,20.5,707970
2023-04-28,4172.75,4139.5,4177.0,37.5,771908
2023-05-01,4191.0,4187.0,4197.5,10.5,508948
2023-05-02,4115.25,4109.5,4177.75,68.25,1042873
2023-05-03,4143.5,4133.5,4147.5,14.0,546012
2023-05-04,4076.0,4067.75,4096.25,28.5,939100
2023-05-05,4135.0,4103.0,4139.25,36.25,721663
2023-05-08,4149.5,4144.0,4152.75,8.75,436432
2023-05-09,4135.75,4134.5,4139.5,5.0,452969
2023-05-10,4147.0,4127.5,4168.0,40.5,948268
2023-05-11,4125.0,4123.5,4140.25,16.75,721644
2023-05-12,4156.25,4129.25,4157.25,28.0,534200
2023-05-15,4137.5,4124.75,4142.25,17.5,512387
2023-05-16,4135.0,4131.0,4140.75,9.75,631649
2023-05-17,4137.5,4129.75,4145.25,15.5,593184
2023-05-18,4191.25,4165.75,4198.0,32.25,675624
2023-05-19,4221.0,4203.75,4225.5,21.75,837913
2023-05-22,4209.25,4201.5,4213.75,12.25,635238
2023-05-23,4194.5,4190.5,4196.25,5.75,537666
2023-05-24,4125.75,4118.75,4135.5,16.75,850100
2023-05-25,4142.0,4139.75,4152.25,12.5,914213
2023-05-26,4206.25,4166.25,4210.0,43.75,841379
2023-05-29,4221.5,4221.0,4224.75,3.75,47455
2023-05-30,4219.5,4217.25,4238.25,21.0,865058
2023-05-31,4178.25,4175.5,4199.25,23.75,870264
2023-06-01,4183.25,4179.75,4212.5,32.75,879049
2023-06-02,4264.5,4248.25,4285.75,37.5,1024621
2023-06-05,4297.0,4288.75,4297.75,9.0,703455
2023-06-06,4283.75,4270.75,4290.5,19.75,645800
2023-06-07,4285.0,4281.75,4302.75,21.0,872242
2023-06-08,4274.0,4270.75,4288.5,17.75,708876
2023-06-09,4306.5,4299.75,4323.5,23.75,762599
