start_date,end_date,direction,consecutive_count,vpoc_start,vpoc_end,vpoc_change
2023-09-07,2023-09-12,up,3,4488.25,4528.75,40.5
2023-09-14,2023-09-19,down,3,4538.5,4469.75,-68.75
2023-09-20,2023-09-27,down,5,4500.0,4323.25,-176.75
2023-09-29,2023-10-06,down,5,4364.5,4260.75,-103.75
2023-10-06,2023-10-12,up,4,4260.75,4403.25,142.5
2023-10-18,2023-10-23,down,3,4379.0,4246.75,-132.25
2023-10-24,2023-10-27,down,3,4265.0,4162.75,-102.25
2023-10-30,2023-11-06,up,5,4163.0,4380.5,217.5
2023-11-10,2023-11-15,up,3,4376.25,4525.75,149.5
2023-11-16,2023-11-23,up,5,4515.5,4569.5,54.0
2023-11-23,2023-11-28,down,3,4569.5,4553.0,-16.5
