start_date,end_date,direction,consecutive_count,vpoc_start,vpoc_end,vpoc_change
2021-12-10,2021-12-15,down,3,4691.25,4613.25,-78.0
2021-12-20,2021-12-28,up,5,4549.5,4787.5,238.0
2022-01-04,2022-01-10,down,4,4801.0,4585.5,-215.5
2022-01-10,2022-01-13,up,3,4585.5,4728.5,143.0
2022-01-19,2022-01-24,down,3,4590.0,4302.75,-287.25
2022-01-28,2022-02-02,up,3,4306.5,4559.5,253.0
2022-02-15,2022-02-21,down,4,4447.25,4317.25,-130.0
2022-02-24,2022-03-01,up,3,4150.5,4353.75,203.25
2022-03-03,2022-03-08,down,3,4379.0,4203.5,-175.5
2022-03-14,2022-03-22,up,6,4206.25,4498.0,291.75
2022-03-24,2022-03-30,up,4,4470.0,4615.5,145.5
2022-04-18,2022-04-21,up,3,4394.0,4494.5,100.5
2022-04-21,2022-04-27,down,4,4494.5,4189.25,-305.25
2022-05-04,2022-05-12,down,6,4157.25,3900.0,-257.25
2022-05-24,2022-05-30,up,4,3885.5,4169.75,284.25
2022-05-30,2022-06-02,down,3,4169.75,4089.25,-80.5
2022-06-08,2022-06-14,down,4,4149.5,3748.5,-401.0
2022-06-17,2022-06-28,up,7,3674.5,3921.5,247.0
2022-07-07,2022-07-14,down,5,3889.0,3753.5,-135.5
2022-07-26,2022-08-01,up,4,3948.75,4139.25,190.5
2022-08-16,2022-08-23,down,5,4288.25,4138.75,-149.5
2022-08-25,2022-08-30,down,3,4163.75,3991.5,-172.25
2022-09-07,2022-09-12,up,3,3922.5,4128.5,206.0
2022-09-27,2022-09-30,down,3,3710.25,3651.0,-59.25
2022-10-06,2022-10-11,down,3,3781.5,3606.0,-175.5
2022-10-13,2022-10-18,up,3,3512.25,3740.5,228.25
2022-10-21,2022-10-26,up,3,3697.25,3845.25,148.0
2022-10-31,2022-11-03,down,3,3888.5,3734.25,-154.25
2022-11-03,2022-11-08,up,3,3734.25,3824.75,90.5
2022-11-09,2022-11-15,up,4,3802.25,4030.75,228.5
2022-11-21,2022-11-24,up,3,3959.5,4044.75,85.25
2022-11-24,2022-11-30,down,4,4044.75,3950.5,-94.25
2022-12-13,2022-12-16,down,3,4137.25,3876.0,-261.25
2022-12-23,2022-12-29,up,3,3840.5,3867.75,27.25
2023-01-10,2023-01-18,up,6,3919.25,4023.5,104.25
2023-01-19,2023-01-24,up,3,3917.25,4016.0,98.75
2023-02-02,2023-02-07,down,3,4171.25,4113.0,-58.25
2023-02-10,2023-02-15,up,3,4083.25,4127.5,44.25
2023-02-27,2023-03-02,down,3,4008.5,3945.75,-62.75
2023-03-28,2023-04-03,up,4,3999.5,4134.0,134.5
2023-04-03,2023-04-06,down,3,4134.0,4111.0,-23.0
2023-04-10,2023-04-18,up,6,4106.5,4169.75,63.25
2023-04-18,2023-04-21,down,3,4169.75,4154.0,-15.75
2023-04-26,2023-05-01,up,3,4099.5,4191.0,91.5
2023-05-16,2023-05-19,up,3,4135.0,4221.0,86.0
2023-05-19,2023-05-24,down,3,4221.0,4125.75,-95.25
2023-05-24,2023-05-29,up,3,4125.75,4221.5,95.75
2023-05-31,2023-06-05,up,3,4178.25,4297.0,118.75
2023-06-08,2023-06-16,up,6,4274.0,4475.25,201.25
